PC1,PC2,category
21.80399485540015,8.831528065306426,Music
9.811662803023381,1.985796859366436,Entertainment
16.769919549818695,4.385513695622181,Education
15.468865760530013,4.23514182839294,Shows
7.177981904903411,4.309282796345863,People & Blogs
1.748825482889991,4.42378749089099,Gaming
3.388477788712342,6.3350899061699435,People & Blogs
5.657797003308858,3.768220704076052,Entertainment
6.254922774021325,2.237869699959202,Music
6.336640398406501,3.1832205011574057,Sports
3.7995618491000704,2.1262646617339547,People & Blogs
11.639415794451885,0.26604784145786897,Shows
1.438159025414066,2.33096684458907,Music
1.6642688932913652,2.4898755467828466,Music
3.8275327913531316,0.9495011495653515,Music
10.863683439673588,-1.356368629880889,Entertainment
3.385095798502561,1.617245998800293,Education
3.2528179227030445,1.9491005328475897,Education
1.8857123520488255,1.9253233418326894,Music
7.714548141856554,-0.21462203948352365,Shows
0.8214470201988873,1.646695699528274,Sports
1.87162018725044,3.236927518705015,Film & Animation
2.77838516591874,1.2612351983975103,Music
4.388768116206475,1.4184198151379765,Music
1.9401328464150849,2.1226615441334356,Music
2.6962315370821734,0.7958599832419335,News & Politics
1.7251383574954076,1.599122528256818,Music
1.6729237665197647,1.5243116609446916,Music
0.558492039067067,1.5745442838542696,Entertainment
3.1739280487380443,0.8534737273226218,Film & Animation
0.4031209838807369,2.4826780767947367,Music
1.4063071352302425,1.6948905102852276,Music
4.651220320331838,-0.4380188896574936,Education
3.088935265978021,0.533165371359129,Music
0.9896872806935776,1.5895951771224577,Music
1.1639775142590856,0.7012077631069453,Education
0.13721998003079208,1.4113281287799433,Gaming
0.5287472617490103,1.0905731519157877,Music
1.8233793733202097,1.1279279247191114,Entertainment
1.2160791340162482,1.0837262395529055,Entertainment
-0.10881927225847429,1.756750878410605,Entertainment
1.7791625629275538,0.9242447225437679,Music
-0.02187491768868754,1.8606582685011688,Gaming
-0.19603771035909615,1.2969478759201976,Gaming
1.1503536021245737,0.9671266108026548,Entertainment
0.4659890553869605,1.147312419006208,Entertainment
-0.22076509646772144,1.107544497560406,Entertainment
7.464143505146278,-2.1798419950641437,Entertainment
0.7097135759535482,1.4034619878848813,Music
-0.44186474680546517,1.038322663010919,Comedy
1.618783442077643,2.1209392206413025,People & Blogs
-0.3555726151169908,1.41102929479355,Music
1.901089207374887,0.6962000576608007,People & Blogs
1.877487606608702,1.1664061219487283,Film & Animation
6.378414080164628,-1.7100142175006783,Entertainment
0.8444506964573952,1.2977097108878863,Music
3.4762567459326617,-0.5571207372439936,Shows
0.08058020455057593,1.4090025003348146,Entertainment
0.8336354320557259,1.0434117141315729,Entertainment
0.6779252087821181,0.8616732992214121,Trailers
0.1117880905873294,0.5926926693486121,People & Blogs
0.8379587475783631,1.886265489410398,Education
-0.5478118569544953,1.0740475760248451,Gaming
1.166300309050991,0.7838235997628201,People & Blogs
-0.3028901925924005,0.6323111099593844,Comedy
-0.21087754088819644,0.9536643436198582,Music
3.3657673063688702,0.42586633669081,Education
1.0442859739380264,0.4213295842784562,Gaming
0.8719929128586213,1.5883467738451735,Entertainment
8.471840366338435,-3.987027024715483,Music
-0.37841110014877616,0.8644350221104895,Nonprofits & Activism
-0.22275735661201776,1.5026490683265459,People & Blogs
3.9424658976825606,-1.4915899095934688,Music
-0.45440941748016433,1.2245723891376386,Music
-0.0863702986379492,1.4676121071117978,Entertainment
2.163957681373813,0.29527275941437814,Shows
0.8761506338020928,0.8238834492739694,Music
1.3577355852871642,0.24731163342641085,Entertainment
0.6491096428843502,1.1864419742945962,Entertainment
-0.13579849629872848,1.1111857096818092,Comedy
0.9265095263872893,0.22865180491617002,People & Blogs
1.134009932160005,0.6791620025485797,People & Blogs
0.5955911966422758,0.7622545064599198,Music
0.5631086281929859,0.9463926778693642,Music
1.3465218392891767,0.23669084056092665,Film & Animation
-0.6765495189625744,0.7101563421621042,News & Politics
0.6630655606180016,0.902180120080769,Music
-0.700449303265553,0.8910646019947946,Gaming
1.451977110757501,0.5571117445055098,Music
2.339376879021142,-0.6424935207870677,Entertainment
1.104148080207929,0.1920669148898851,News & Politics
1.4692116046969348,0.29290598430811354,Music
-0.7369481779041941,0.8372093947007646,Gaming
0.33615842201610513,0.9023832299850092,Gaming
1.889453033207548,1.7350744685496864,Entertainment
1.5534871004963002,0.368458997860039,Education
-0.6443364247215129,0.9426270247519531,Gaming
-0.028629586426955747,0.6949011440483063,Music
0.39483081560898986,0.9493161275155862,Music
2.0752445396524126,-1.166890419857034,Entertainment
0.34043802754058883,0.3629858891120195,Film & Animation
-0.29261411335150295,0.9840880709586158,Gaming
1.947249544828127,0.1403482316481446,Film & Animation
0.832373534926647,0.6668383554622455,Gaming
0.039629698969533,0.6274194094771242,Film & Animation
0.9179256102086667,0.14351533563782343,Music
-0.4860184603777923,0.8821554180320585,Comedy
-0.3497225106523565,0.7411094927710422,Music
0.34273966602498396,0.801941945290674,Education
0.05732624475661032,0.2285399918892398,People & Blogs
0.45299446392730947,1.0200651862432977,Education
-0.3485760435927213,1.0911135357743116,Entertainment
1.5676990703948934,0.39740177105727126,Music
1.665875029308859,0.05585698124468194,Music
2.023324922945529,-0.4528265562476005,Music
-0.371297712495476,0.6907100682409374,Shows
-0.36665812646558327,0.8178286659482878,Gaming
8.569343145425961,-4.326694496554697,Entertainment
1.0183732116045852,0.6531924027600008,Music
3.7780966194745513,-1.5767242333170532,Entertainment
